name,rating,reviews,type,url,image_url
Medina De Susa,3.7,"(2,895)",3.7,https://www.tripadvisor.com/Attraction_Review-g295401-d324433-Reviews-Medina_De_Susa-Sousse_Sousse_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/e1/28/72/caption.jpg?w=600&h=400&s=1
Ribat,4.2,(407),4.2,https://www.tripadvisor.com/Attraction_Review-g295401-d1930279-Reviews-Ribat-Sousse_Sousse_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/71/2f/28/photo0jpg.jpg?w=600&h=400&s=1
Dar Am Taieb,4.7,(55),4.7,https://www.tripadvisor.com/Attraction_Review-g295401-d2192448-Reviews-Dar_Am_Taieb-Sousse_Sousse_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/df/b2/83/inside-snaps-of-unusual.jpg?w=600&h=400&s=1
Museum Dar Essid,4.5,(230),4.5,https://www.tripadvisor.com/Attraction_Review-g295401-d2624834-Reviews-Museum_Dar_Essid-Sousse_Sousse_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/75/e4/20200101-104820-largejpg.jpg?w=600&h=400&s=1
Große Moschee von Sousse,4.0,(368),4.0,https://www.tripadvisor.com/Attraction_Review-g295401-d1930284-Reviews-Grosse_Moschee_von_Sousse-Sousse_Sousse_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/df/74/df/photo0jpg.jpg?w=600&h=400&s=1
Medinat Alzahra Parc,3.6,(175),3.6,https://www.tripadvisor.com/Attraction_Review-g295401-d2148207-Reviews-Medinat_Alzahra_Parc-Sousse_Sousse_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a5/9a/eb/aussenanlage.jpg?w=600&h=400&s=1
