name,rating,reviews,type,url,image_url
L'aqueduc de Zaghouan,4.6,(36),4.6,https://www.tripadvisor.com/Attraction_Review-g844553-d2620057-Reviews-L_aqueduc_de_Zaghouan-Zaghouan_Zaghouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/42/45/c1/caption.jpg?w=600&h=400&s=1
The Water Temple,4.2,(73),4.2,https://www.tripadvisor.com/Attraction_Review-g844553-d7237579-Reviews-The_Water_Temple-Zaghouan_Zaghouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/1e/83/14/la-scalinata-che-porta.jpg?w=600&h=400&s=1
Thuburbo Majus,4.6,(31),4.6,https://www.tripadvisor.com/Attraction_Review-g2629168-d324416-Reviews-Thuburbo_Majus-Zaghouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/16/40/39/the-palestra.jpg?w=600&h=400&s=1
