name,rating,reviews,type,url,image_url
Medina,4.2,(140),4.2,https://www.tripadvisor.com/Attraction_Review-g317087-d1412168-Reviews-Medina-Sfax_Sfax_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/2a/f4/ea/mura-torri-e-bastioni.jpg?w=600&h=400&s=1
Bab Bhar,4.4,(16),4.4,https://www.tripadvisor.com/Attraction_Review-g317087-d1412170-Reviews-Bab_Bhar-Sfax_Sfax_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/26/e3/06/caption.jpg?w=300&h=200&s=1
La Kasbah,4.0,(21),4.0,https://www.tripadvisor.com/Attraction_Review-g317087-d1411343-Reviews-La_Kasbah-Sfax_Sfax_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fe/df/e5/place-de-la-kasbah-sfax.jpg?w=600&h=400&s=1
Grande Mosquee,4.3,(10),4.3,https://www.tripadvisor.com/Attraction_Review-g317087-d1411340-Reviews-Grande_Mosquee-Sfax_Sfax_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/97/76/f0/grand-mosquee-sfax.jpg?w=600&h=400&s=1
Site Archeologique Thyna,3.8,(6),3.8,https://www.tripadvisor.com/Attraction_Review-g317087-d7186398-Reviews-Site_Archeologique_Thyna-Sfax_Sfax_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/db/d1/11/site-archeologique-thyna.jpg?w=600&h=400&s=1
Sfax Beb Bhar,5.0,(2),5.0,https://www.tripadvisor.com/Attraction_Review-g317087-d32765325-Reviews-Sfax_Beb_Bhar-Sfax_Sfax_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/65/ee/5b/caption.jpg?w=600&h=400&s=1
