name,rating,reviews,type,url,image_url
Mahdia Beach,4.4,(723),4.4,https://www.tripadvisor.com/Attraction_Review-g297947-d4817303-Reviews-Mahdia_Beach-Mahdia_Mahdia_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/82/23/ff/lever-du-soleil.jpg?w=600&h=400&s=1
Mahdia's Old Town,4.0,(701),4.0,https://www.tripadvisor.com/Attraction_Review-g297947-d480905-Reviews-Mahdia_s_Old_Town-Mahdia_Mahdia_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/70/ce/e0/il-caffe-sul-mare.jpg?w=600&h=400&s=1
Fort Ottoman Borj El Kebir,4.1,(40),4.1,https://www.tripadvisor.com/Attraction_Review-g297947-d12955674-Reviews-Fort_Ottoman_Borj_El_Kebir-Mahdia_Mahdia_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/dc/0e/b4/fort-ottoman-borj-el.jpg?w=600&h=400&s=1
Cimetiere Marin de Mahdia,4.4,(14),4.4,https://www.tripadvisor.com/Attraction_Review-g297947-d20616277-Reviews-Cimetiere_Marin_de_Mahdia-Mahdia_Mahdia_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e8/33/b3/cimetiere-marin-de-mahdia.jpg?w=600&h=400&s=1
Skifa El Kahla,4.2,(5),4.2,https://www.tripadvisor.com/Attraction_Review-g297947-d20617386-Reviews-Skifa_El_Kahla-Mahdia_Mahdia_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/63/1c/e1/caption.jpg?w=600&h=400&s=1
Great Mosque of Mahdiya,5.0,(2),5.0,https://www.tripadvisor.com/Attraction_Review-g297947-d20671419-Reviews-Great_Mosque_of_Mahdiya-Mahdia_Mahdia_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/e9/a6/67/red-carpet-laid-from.jpg?w=600&h=400&s=1
