name,rating,reviews,type,url,image_url
The Great Mosque of Kairouan,4.4,(575),4.4,https://www.tripadvisor.com/Attraction_Review-g303925-d317540-Reviews-The_Great_Mosque_of_Kairouan-Kairouan_Kairouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/3d/f2/73/cortile.jpg?w=600&h=-1&s=1
Medina of Kairouan,4.3,(262),4.3,https://www.tripadvisor.com/Attraction_Review-g303925-d317543-Reviews-Medina_of_Kairouan-Kairouan_Kairouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/21/86/0e/cartoline-da-kairouan.jpg?w=600&h=400&s=1
Mosque Sidi Sahbi (Mosque of the Barber),4.4,(169),4.4,https://www.tripadvisor.com/Attraction_Review-g303925-d317541-Reviews-Mosque_Sidi_Sahbi_Mosque_of_the_Barber-Kairouan_Kairouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/de/61/bb/caption.jpg?w=600&h=400&s=1
Governor's House,4.4,(15),4.4,https://www.tripadvisor.com/Attraction_Review-g303925-d13831984-Reviews-Governor_s_House-Kairouan_Kairouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/61/65/02/l-etage-tout-aussi-decore.jpg?w=600&h=400&s=1
Bir Barouta,3.6,(87),3.6,https://www.tripadvisor.com/Attraction_Review-g303925-d2054602-Reviews-Bir_Barouta-Kairouan_Kairouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/6a/5c/f7/filename-kairouan-003.jpg?w=400&h=300&s=1
Three Doors Mosque,3.9,(46),3.9,https://www.tripadvisor.com/Attraction_Review-g303925-d2464207-Reviews-Three_Doors_Mosque-Kairouan_Kairouan_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ed/5b/e9/three-doors-mosque.jpg?w=600&h=400&s=1
