name,rating,reviews,type,url,image_url
Qsiba,4.3,(66),4.3,https://www.tripadvisor.com/Attraction_Review-g480249-d1207629-Reviews-Qsiba-Bizerte_Bizerte_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/08/78/b2/vue-vieux-port.jpg?w=600&h=400&s=1
Utica,4.0,(13),4.0,https://www.tripadvisor.com/Attraction_Review-g480249-d1598979-Reviews-Utica-Bizerte_Bizerte_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/b5/b0/c3/utica.jpg?w=600&h=400&s=1
Alexander Nevsky Orthodox Church,4.6,(13),4.6,https://www.tripadvisor.com/Attraction_Review-g480249-d4367576-Reviews-Alexander_Nevsky_Orthodox_Church-Bizerte_Bizerte_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ea/ec/de/caption.jpg?w=600&h=400&s=1
Cap Angela,4.3,(3),4.3,https://www.tripadvisor.com/Attraction_Review-g480249-d28099231-Reviews-Cap_Angela-Bizerte_Bizerte_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/1e/57/23/caption.jpg?w=600&h=400&s=1
Grande Mosquee De Bizerte,5.0,(2),5.0,https://www.tripadvisor.com/Attraction_Review-g480249-d20669310-Reviews-Grande_Mosquee_De_Bizerte-Bizerte_Bizerte_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/cf/0c/60/caption.jpg?w=600&h=400&s=1
Fort d'Espagne,4.0,(3),4.0,https://www.tripadvisor.com/Attraction_Review-g480249-d13737944-Reviews-Fort_d_Espagne-Bizerte_Bizerte_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/52/3a/b0/outside.jpg?w=600&h=-1&s=1
