name,rating,reviews,type,url,image_url
La Kasbah,5.0,(3),5.0,https://www.tripadvisor.com/Attraction_Review-g651644-d20675154-Reviews-La_Kasbah-Gafsa_Gafsa_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/77/d9/7a/photo1jpg.jpg?w=600&h=400&s=1
Piscine Romaine de Gafsa,3.7,(3),3.7,https://www.tripadvisor.com/Attraction_Review-g651644-d20583150-Reviews-Piscine_Romaine_de_Gafsa-Gafsa_Gafsa_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/80/a6/06/piscinas-romanas-de-gafsa.jpg?w=600&h=400&s=1
Gorges de Selja,4.0,(1),4.0,https://www.tripadvisor.com/Attraction_Review-g651644-d20583170-Reviews-Gorges_de_Selja-Gafsa_Gafsa_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/6e/2c/7c/caption.jpg?w=600&h=400&s=1
Musée Archéologique de Gafsa,3.0,(2),3.0,https://www.tripadvisor.com/Attraction_Review-g651644-d20583154-Reviews-Musee_Archeologique_de_Gafsa-Gafsa_Gafsa_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/77/d8/2c/des-mosaiques-quelques.jpg?w=600&h=400&s=1
