name,rating,reviews,type,url,image_url
Ribat of Monastir,4.4,(776),4.4,https://www.tripadvisor.com/Attraction_Review-g297949-d2536453-Reviews-Ribat_of_Monastir-Monastir_Monastir_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/31/49/f4/caption.jpg?w=600&h=-1&s=1
Bourghiba Mausoleum,4.4,"(1,205)",4.4,https://www.tripadvisor.com/Attraction_Review-g297949-d2536465-Reviews-Bourghiba_Mausoleum-Monastir_Monastir_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9b/79/e2/20190221-114732-largejpg.jpg?w=600&h=400&s=1
Bourguiba Mosque,4.4,(5),4.4,https://www.tripadvisor.com/Attraction_Review-g297949-d21235906-Reviews-Bourguiba_Mosque-Monastir_Monastir_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ee/8f/27/caption.jpg?w=600&h=400&s=1
Monastir Medina (old Town),4.5,(2),4.5,https://www.tripadvisor.com/Attraction_Review-g297949-d28064941-Reviews-Monastir_Medina_old_Town-Monastir_Monastir_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0b/42/5f/caption.jpg?w=600&h=400&s=1
Great Mosque,3.0,(2),3.0,https://www.tripadvisor.com/Attraction_Review-g297949-d21237398-Reviews-Great_Mosque-Monastir_Monastir_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ee/92/97/caption.jpg?w=600&h=400&s=1
Musée du Costume Traditionnel,4.0,(30),4.0,https://www.tripadvisor.com/Attraction_Review-g297949-d7393408-Reviews-Musee_du_Costume_Traditionnel-Monastir_Monastir_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/99/89/36/20181202-102115-largejpg.jpg?w=600&h=400&s=1
