name,rating,reviews,type,url,image_url
Décor Star Wars Tunisie,3.9,(386),3.9,https://www.tripadvisor.com/Attraction_Review-g293757-d3247413-Reviews-Decor_Star_Wars_Tunisie-Tozeur_Tozeur_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c5/b0/3c/decor-star-wars-tunisie.jpg?w=600&h=-1&s=1
Le Vieux Quartier de Ouled el Hadef (Medina),4.2,(101),4.2,https://www.tripadvisor.com/Attraction_Review-g293757-d2273314-Reviews-Le_Vieux_Quartier_de_Ouled_el_Hadef_Medina-Tozeur_Tozeur_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/52/5b/0c/20151022-173545-largejpg.jpg?w=600&h=400&s=1
Monument of Abou el Kacem Chebbi - Parc du belvédère de Ras El Aïn,3.0,(1),3.0,https://www.tripadvisor.com/Attraction_Review-g293757-d20613086-Reviews-Monument_of_Abou_el_Kacem_Chebbi_Parc_du_belvedere_de_Ras_El_Ain-Tozeur_Tozeur_G.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8d/9d/36/monument-of-abou-el-kacem.jpg?w=600&h=400&s=1
Ferkous Mosque,4.5,(2),4.5,https://www.tripadvisor.com/Attraction_Review-g293757-d20615327-Reviews-Ferkous_Mosque-Tozeur_Tozeur_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/69/b4/1c/mosquee-farkous.jpg?w=600&h=400&s=1
Eden Palm Tresors de l'Oasis,4.2,(111),4.2,https://www.tripadvisor.com/Attraction_Review-g293757-d4260109-Reviews-Eden_Palm_Tresors_de_l_Oasis-Tozeur_Tozeur_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/fb/dd/99/eden-palm-tresors-de.jpg?w=600&h=-1&s=1
Chak Wak,4.0,(131),4.0,https://www.tripadvisor.com/Attraction_Review-g293757-d6418879-Reviews-Chak_Wak-Tozeur_Tozeur_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/52/04/fa/tres-bel-endroit-a-visiter.jpg?w=600&h=400&s=1
