name,rating,reviews,type,url,image_url
Dougga,4.9,(380),4.9,https://www.tripadvisor.com/Attraction_Review-g1237248-d17146903-Reviews-Dougga-Teboursouk_Beja_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/92/87/52/caption.jpg?w=600&h=400&s=1
Great Mosque of Testour,4.3,(9),4.3,https://www.tripadvisor.com/Attraction_Review-g1237246-d15317066-Reviews-Great_Mosque_of_Testour-Tastur_Beja_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/bd/92/a9/unique-architecture.jpg?w=600&h=400&s=1
Ain Tounga,3.8,(12),3.8,https://www.tripadvisor.com/Attraction_Review-g1237246-d3680455-Reviews-Ain_Tounga-Tastur_Beja_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/dd/35/32/derriere-cette-arche.jpg?w=600&h=400&s=1
Musti,4.5,(4),4.5,https://www.tripadvisor.com/Attraction_Review-g1237248-d4309990-Reviews-Musti-Teboursouk_Beja_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/00/db/ec/dougga.jpg?w=600&h=400&s=1
