name,rating,reviews,type,url,image_url
The National Bardo Museum,4.6,"(1,472)",4.6,https://www.tripadvisor.com/Attraction_Review-g293758-d472648-Reviews-The_National_Bardo_Museum-Tunis_Tunis_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/30/eb/75/bardo.jpg?w=600&h=-1&s=1
Medina of Tunis,4.0,"(1,867)",4.0,https://www.tripadvisor.com/Attraction_Review-g293758-d324120-Reviews-Medina_of_Tunis-Tunis_Tunis_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/71/ff/89/caption.jpg?w=600&h=-1&s=1
EzZitouna Mosque,4.2,(397),4.2,https://www.tripadvisor.com/Attraction_Review-g293758-d472658-Reviews-EzZitouna_Mosque-Tunis_Tunis_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7c/37/fa/20181005-161845-0-01.jpg?w=600&h=400&s=1
Cathedral of St. Vincent de Paul,4.1,(349),4.1,https://www.tripadvisor.com/Attraction_Review-g293758-d480909-Reviews-Cathedral_of_St_Vincent_de_Paul-Tunis_Tunis_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/f4/a1/ff/caption.jpg?w=600&h=400&s=1
Beb Bhar,3.9,(399),3.9,https://www.tripadvisor.com/Attraction_Review-g293758-d1943468-Reviews-Beb_Bhar-Tunis_Tunis_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/2b/c1/f4/tunis-bab-bahr.jpg?w=600&h=-1&s=1
Avenue Habib Bourguiba,4.1,(94),4.1,https://www.tripadvisor.com/Attraction_Review-g293758-d12729273-Reviews-Avenue_Habib_Bourguiba-Tunis_Tunis_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/72/f0/praca-no-meio-da-avenida.jpg?w=600&h=400&s=1
